,open,high,low,close,volume,Open,High,Low,Close,Volume
2024-01-01 00:00:00,,,,,,9.3931,9.4568,9.3713,9.418399999999998,6833.41
2024-01-01 01:00:00,,,,,,9.42275,9.5191,9.4203,9.46905,708.1
2024-01-01 02:00:00,,,,,,9.4684,9.52,9.4576,9.482924999999998,2941.83
2024-01-01 03:00:00,,,,,,9.477049999999998,9.4662,9.3153,9.392675,412.54
2024-01-01 04:00:00,,,,,,9.3946,9.3731,9.2434,9.314825,3406.43
2024-01-01 05:00:00,,,,,,9.3214,9.3563,9.2644,9.303825,1254.12
2024-01-01 06:00:00,,,,,,9.2973,9.3593,9.2687,9.31365,880.75
2024-01-01 07:00:00,,,,,,9.3133,9.3887,9.3194,9.355125,2431.85
2024-01-01 08:00:00,,,,,,9.3562,9.4021,9.3417,9.376025,3012.41
2024-01-01 09:00:00,,,,,,9.38015,9.497,9.3881,9.4407,993.13
2024-01-01 10:00:00,,,,,,9.43885,9.511,9.4731,9.4882,899.32
2024-01-01 11:00:00,,,,,,9.48435,9.5108,9.4465,9.483125,867.72
2024-01-01 12:00:00,,,,,,9.4876,9.545,9.4632,9.50385,9540.43
2024-01-01 13:00:00,,,,,,9.5036,9.6014,9.4902,9.536125,4086.5
2024-01-01 14:00:00,,,,,,9.52645,9.6448,9.5099,9.57825,3922.46
2024-01-01 15:00:00,,,,,,9.579149999999998,9.7229,9.6233,9.667175,8215.7
2024-01-01 16:00:00,,,,,,9.66125,9.8603,9.6851,9.740625,16428.33
2024-01-01 17:00:00,,,,,,9.70855,9.799,9.696,9.7507,8781.63
2024-01-01 18:00:00,,,,,,9.7539,9.9917,9.7769,9.869425,8078.51
2024-01-01 19:00:00,,,,,,9.85455,9.9956,9.8677,9.946375,8297.4
2024-01-01 20:00:00,,,,,,9.9611,10.039,9.8973,9.959075,9144.91
2024-01-01 21:00:00,,,,,,9.95,9.947,9.8719,9.91695,5519.48
2024-01-01 22:00:00,,,,,,9.92445,9.979,9.9063,9.94295,8028.78
2024-01-01 23:00:00,,,,,,9.94325,9.9738,9.8938,9.937775,2313.54
2024-01-02 00:00:00,,,,,,9.94175,10.072,9.8811,9.9922,12661.98
2024-01-02 01:00:00,,,,,,10.00785,10.124,10.014,10.06475,8783.0
2024-01-02 02:00:00,,,,,,10.0605,10.104,9.9961,10.058025,522.54
2024-01-02 03:00:00,,,,,,10.066,10.081,9.9643,10.035325,283.29
2024-01-02 04:00:00,,,,,,10.048,10.148,9.9877,10.073175,3231.51
2024-01-02 05:00:00,,,,,,10.0785,10.199,10.082,10.1475,5087.33
2024-01-02 06:00:00,,,,,,10.1545,10.254,10.131,10.17975,4746.14
2024-01-02 07:00:00,,,,,,10.167,10.201,10.125,10.1585,1252.91
2024-01-02 08:00:00,,,,,,10.154,10.223,10.142,10.17725,10536.39
2024-01-02 09:00:00,,,,,,10.172,10.292,10.131,10.192,4460.69
2024-01-02 10:00:00,,,,,,10.1725,10.222,10.096,10.18275,12579.2
2024-01-02 11:00:00,,,,,,10.2065,10.369,10.219,10.2665,17153.18
2024-01-02 12:00:00,,,,,,10.239,10.348,10.233,10.2845,7061.28
2024-01-02 13:00:00,,,,,,10.2785,10.362,10.239,10.29875,5780.47
2024-01-02 14:00:00,,,,,,10.297,10.369,10.023,10.207999999999998,31980.03
2024-01-02 15:00:00,,,,,,10.22,10.19,10.016,10.11175,14267.8
2024-01-02 16:00:00,,,,,,10.1205,10.268,10.05,10.17475,14017.69
2024-01-02 17:00:00,,,,,,10.1905,10.299,10.149,10.228,7218.3
2024-01-02 18:00:00,,,,,,10.232,10.177,10.078,10.1425,5725.78
2024-01-02 19:00:00,,,,,,10.1575,10.211,10.077,10.14025,33790.08
2024-01-02 20:00:00,,,,,,10.136500000000002,10.263,10.074,10.13675,21159.27
2024-01-02 21:00:00,,,,,,10.105,10.137,10.042,10.082999999999998,9011.97
2024-01-02 22:00:00,,,,,,10.0765,10.216,10.081,10.133,3343.07
2024-01-02 23:00:00,,,,,,10.1175,10.253,10.098,10.1855,7058.07
