,open,high,low,close,volume,Open,High,Low,Close,Volume
2024-01-01 00:00:00,1.5629,1.5832,1.5629,1.5761,112512.2,,,,,
2024-01-01 00:00:00,,,,,,1.5629,1.5832,1.5629,1.5761,112512.2
2024-01-01 01:00:00,,,,,,1.5759,1.5914,1.5706,1.5881,154476.3
2024-01-01 01:00:00,1.5759,1.5914,1.5706,1.5881,154476.3,,,,,
2024-01-01 02:00:00,1.5881,1.6051,1.5794,1.5795,189391.5,,,,,
2024-01-01 02:00:00,,,,,,1.5881,1.6051,1.5794,1.5795,189391.5
2024-01-01 03:00:00,1.5781,1.5808,1.5329,1.5337,28080.8,,,,,
2024-01-01 03:00:00,,,,,,1.5781,1.5808,1.5329,1.5337,28080.8
2024-01-01 04:00:00,,,,,,1.5338,1.5402,1.514,1.5401,101729.3
2024-01-01 04:00:00,1.5338,1.5402,1.514,1.5401,101729.3,,,,,
2024-01-01 05:00:00,,,,,,1.5401,1.5421,1.5327,1.5411,124275.4
2024-01-01 05:00:00,1.5401,1.5421,1.5327,1.5411,124275.4,,,,,
2024-01-01 06:00:00,,,,,,1.5393,1.548,1.5378,1.5463,57466.1
2024-01-01 06:00:00,1.5393,1.548,1.5378,1.5463,57466.1,,,,,
2024-01-01 07:00:00,,,,,,1.547,1.5529,1.5413,1.5483,46278.2
2024-01-01 07:00:00,1.547,1.5529,1.5413,1.5483,46278.2,,,,,
2024-01-01 08:00:00,,,,,,1.5472,1.5514,1.5316,1.5474,162882.3
2024-01-01 08:00:00,1.5472,1.5514,1.5316,1.5474,162882.3,,,,,
2024-01-01 09:00:00,,,,,,1.5484,1.5757,1.5472,1.5754,71368.8
2024-01-01 09:00:00,1.5484,1.5757,1.5472,1.5754,71368.8,,,,,
2024-01-01 10:00:00,,,,,,1.5768,1.5814,1.5663,1.5814,125291.2
2024-01-01 10:00:00,1.5768,1.5814,1.5663,1.5814,125291.2,,,,,
2024-01-01 11:00:00,,,,,,1.5819,1.5861,1.569,1.5775,218439.4
2024-01-01 11:00:00,1.5819,1.5861,1.569,1.5775,218439.4,,,,,
2024-01-01 12:00:00,1.5796,1.5906,1.5687,1.576,21586.7,,,,,
2024-01-01 12:00:00,,,,,,1.5796,1.5906,1.5687,1.576,21586.7
2024-01-01 13:00:00,1.5785,1.5896,1.5694,1.5694,32249.7,,,,,
2024-01-01 13:00:00,,,,,,1.5785,1.5896,1.5694,1.5694,32249.7
