,open,high,low,close,volume,Open,High,Low,Close,Volume
2024-01-01 00:00:00,3.973,4.0164,3.9654,3.9921,1199.9,,,,,
2024-01-01 01:00:00,3.9834,4.0251,3.9773,4.0086,1530.6,,,,,
2024-01-01 02:00:00,4.0084,4.0201,3.989,3.9983,710.9,,,,,
2024-01-01 03:00:00,4.0012,4.002,3.9367,3.9367,3818.2,,,,,
2024-01-01 04:00:00,3.9332,3.9511,3.8949,3.9265,1439.4,,,,,
2024-01-01 05:00:00,3.9252,3.9423,3.8924,3.9,2133.1,,,,,
2024-01-01 06:00:00,3.9026,3.947,3.8971,3.9444,3287.0,,,,,
2024-01-01 07:00:00,3.9492,3.9557,3.9273,3.9398,707.5,,,,,
2024-01-01 08:00:00,3.9381,3.9482,3.9219,3.9421,501.0,,,,,
2024-01-01 09:00:00,3.9426,3.9803,3.9259,3.9769,611.7,,,,,
2024-01-01 10:00:00,3.9753,3.9831,3.9549,3.9648,805.9,,,,,
2024-01-01 11:00:00,3.9642,3.9977,3.9601,3.975,3686.7,,,,,
2024-01-01 12:00:00,3.9835,4.0078,3.9789,3.995,495.6,,,,,
2024-01-01 13:00:00,3.9962,4.0681,3.9873,4.0681,395.1,,,,,
2024-01-01 14:00:00,4.0497,4.0761,4.0298,4.0756,3491.5,,,,,
2024-01-01 15:00:00,4.0761,4.1088,4.0544,4.0821,4602.7,,,,,
2024-01-01 16:00:00,4.0817,4.0922,4.0604,4.064,1428.7,,,,,
2024-01-01 17:00:00,4.0713,4.0947,4.0622,4.089,419.3,,,,,
2024-01-01 18:00:00,4.0954,4.1558,4.0898,4.1406,2182.0,,,,,
2024-01-01 19:00:00,4.1481,4.1965,4.1276,4.1784,832.9,,,,,
2024-01-01 20:00:00,4.1919,4.2205,4.1717,4.1959,604.5,,,,,
2024-01-01 21:00:00,4.195,4.199,4.1666,4.1823,711.6,,,,,
2024-01-01 22:00:00,4.1899,4.197,4.1573,4.197,921.6,,,,,
2024-01-01 23:00:00,4.1967,4.2197,4.1924,4.2146,987.6,,,,,
2024-01-02 00:00:00,4.2161,4.384,4.2135,4.3823,22384.5,,,,,
2024-01-02 01:00:00,4.4044,4.4962,4.3631,4.404,11361.5,,,,,
2024-01-02 02:00:00,4.4155,4.5869,4.4151,4.5698,6475.3,,,,,
2024-01-02 03:00:00,4.5803,4.6604,4.4965,4.62,12525.9,,,,,
2024-01-02 04:00:00,4.6244,4.6397,4.5441,4.5912,8389.4,,,,,
2024-01-02 05:00:00,4.5857,4.6477,4.5334,4.5572,2650.0,,,,,
2024-01-02 06:00:00,4.5623,4.5841,4.5172,4.5308,1181.8,,,,,
2024-01-02 07:00:00,4.528,4.5551,4.5028,4.523,659.9,,,,,
2024-01-02 08:00:00,4.5198,4.5198,4.4546,4.4834,1467.9,,,,,
2024-01-02 09:00:00,4.4931,4.5032,4.4738,4.4793,1252.6,,,,,
2024-01-02 10:00:00,4.4778,4.4849,4.3599,4.3877,3322.0,,,,,
2024-01-02 11:00:00,4.382,4.4098,4.3363,4.3684,984.3,,,,,
2024-01-02 12:00:00,4.3711,4.3821,4.3226,4.3259,6517.5,,,,,
2024-01-02 13:00:00,4.3286,4.3903,4.3233,4.3778,3100.5,,,,,
2024-01-02 14:00:00,4.3774,4.3853,4.2874,4.3085,5308.2,,,,,
2024-01-02 15:00:00,4.3108,4.3839,4.2942,4.3801,2336.6,,,,,
2024-01-02 16:00:00,4.379,4.3982,4.3224,4.3785,1518.1,,,,,
2024-01-02 17:00:00,4.3758,4.3758,4.2859,4.3083,11591.2,,,,,
2024-01-02 18:00:00,4.3132,4.3329,4.287,4.2953,1233.4,,,,,
2024-01-02 19:00:00,4.3002,4.3216,4.2561,4.2734,3824.9,,,,,
2024-01-02 20:00:00,4.2716,4.3201,4.245,4.245,693.1,,,,,
2024-01-02 21:00:00,4.2448,4.3002,4.2306,4.2852,2794.2,,,,,
2024-01-02 22:00:00,4.2943,4.3209,4.273,4.2884,541.7,,,,,
2024-01-02 23:00:00,4.2912,4.2912,4.2504,4.2813,692.1,,,,,
2024-01-03 00:00:00,4.2806,4.317,4.2523,4.317,13159.3,,,,,
2024-01-03 01:00:00,4.3167,4.3306,4.2982,4.3174,3629.2,,,,,
2024-01-03 02:00:00,4.3165,4.3323,4.2737,4.2877,789.1,,,,,
2024-01-03 03:00:00,4.29,4.3432,4.2811,4.3406,1275.9,,,,,
2024-01-03 04:00:00,4.3387,4.3935,4.3192,4.3935,1895.1,,,,,
2024-01-03 05:00:00,4.3933,4.4348,4.3742,4.4172,617.7,,,,,
2024-01-03 06:00:00,4.4127,4.4194,4.37,4.3947,1006.8,,,,,
2024-01-03 07:00:00,4.4014,4.4096,4.3326,4.3611,986.0,,,,,
2024-01-03 08:00:00,4.3582,4.3862,4.338,4.3862,1794.2,,,,,
2024-01-03 09:00:00,4.3963,4.4282,4.394,4.4029,594.6,,,,,
2024-01-03 10:00:00,4.4145,4.4785,4.41,4.4665,739.4,,,,,
2024-01-03 11:00:00,4.4494,4.5015,4.3592,4.4229,23182.8,,,,,
2024-01-03 12:00:00,4.4204,4.4204,2.9082,3.8469,77187.9,,,,,
2024-01-03 13:00:00,3.8576,3.8576,3.6953,3.7432,19349.0,,,,,
2024-01-03 14:00:00,3.7536,3.7599,3.6531,3.6934,25833.8,,,,,
2024-01-03 15:00:00,3.6847,3.7687,3.6618,3.7654,13620.6,,,,,
2024-01-03 16:00:00,3.7646,3.7828,3.6859,3.7287,7585.9,,,,,
2024-01-03 17:00:00,3.7347,3.7383,3.6668,3.699,4103.7,,,,,
2024-01-03 18:00:00,3.7001,3.7271,3.5861,3.6216,5279.4,,,,,
2024-01-03 19:00:00,3.6247,3.7124,3.6247,3.6782,2988.9,,,,,
2024-01-03 20:00:00,3.6821,3.7414,3.6761,3.7318,380.5,,,,,
2024-01-03 21:00:00,3.7312,3.7453,3.7135,3.7298,675.3,,,,,
2024-01-03 22:00:00,3.7358,3.7371,3.6588,3.6873,723.6,,,,,
2024-01-03 23:00:00,3.6862,3.6862,3.6395,3.6706,8538.2,,,,,
2024-01-04 00:00:00,3.6788,3.696,3.6479,3.6881,1033.7,,,,,
2024-01-04 01:00:00,3.6837,3.6962,3.5952,3.6319,2866.1,,,,,
2024-01-04 02:00:00,3.632,3.6987,3.6271,3.6987,1716.3,,,,,
2024-01-04 03:00:00,3.6922,3.6937,3.6639,3.6837,1076.2,,,,,
2024-01-04 04:00:00,3.6842,3.71,3.6607,3.7009,1522.9,,,,,
2024-01-04 05:00:00,3.6915,3.7242,3.6834,3.7162,3377.5,,,,,
2024-01-04 06:00:00,3.7124,3.7331,3.7034,3.7041,967.6,,,,,
2024-01-04 07:00:00,3.7081,3.7223,3.6475,3.6475,1712.4,,,,,
2024-01-04 08:00:00,3.6523,3.6735,3.6182,3.6461,1180.7,,,,,
2024-01-04 09:00:00,3.6478,3.6947,3.6463,3.6767,562.6,,,,,
2024-01-04 10:00:00,3.6654,3.6784,3.6006,3.6741,4295.9,,,,,
2024-01-04 11:00:00,3.6727,3.691,3.6539,3.6783,5800.0,,,,,
2024-01-04 12:00:00,3.6863,3.7325,3.65,3.7099,8679.2,,,,,
2024-01-04 13:00:00,3.7152,3.7235,3.6779,3.6955,2703.5,,,,,
2024-01-04 14:00:00,3.6803,3.7526,3.6754,3.7516,462.7,,,,,
2024-01-04 15:00:00,3.7572,3.7674,3.725,3.7546,1053.4,,,,,
2024-01-04 16:00:00,3.7543,3.7594,3.7112,3.7439,646.9,,,,,
2024-01-04 17:00:00,3.7431,3.765,3.7292,3.7445,1171.0,,,,,
2024-01-04 18:00:00,3.7481,3.7515,3.7063,3.743,28955.4,,,,,
2024-01-04 19:00:00,3.7441,3.7697,3.7295,3.743,1417.4,,,,,
2024-01-04 20:00:00,3.7424,3.797,3.7409,3.7617,3117.6,,,,,
2024-01-04 21:00:00,3.7601,3.777,3.72,3.7322,5099.2,,,,,
2024-01-04 22:00:00,3.7363,3.7703,3.7132,3.739,3729.8,,,,,
2024-01-04 23:00:00,3.7434,3.7523,3.7188,3.7188,7591.1,,,,,
2024-01-05 00:00:00,3.7283,3.7572,3.7081,3.7361,18978.7,,,,,
2024-01-05 01:00:00,3.7374,3.7374,3.486,3.6234,19590.3,,,,,
2024-01-05 02:00:00,3.6396,3.6643,3.5827,3.5974,4834.1,,,,,
2024-01-05 03:00:00,3.5942,3.6213,3.5752,3.5862,2773.3,,,,,
2024-01-05 04:00:00,3.5904,3.5968,3.545,3.594,1659.5,,,,,
2024-01-05 05:00:00,3.5951,3.6351,3.5901,3.6271,11806.6,,,,,
2024-01-05 06:00:00,3.6191,3.6482,3.6011,3.6346,2315.2,,,,,
2024-01-05 07:00:00,3.6492,3.6492,3.5989,3.6016,4316.7,,,,,
2024-01-05 08:00:00,3.6027,3.6375,3.5948,3.5959,2998.2,,,,,
2024-01-05 09:00:00,3.5956,3.6384,3.5956,3.6302,604.3,,,,,
2024-01-05 10:00:00,3.6318,3.6334,3.5462,3.5682,6057.5,,,,,
2024-01-05 11:00:00,3.5761,3.6215,3.5761,3.5853,9736.3,,,,,
2024-01-05 12:00:00,3.5885,3.6428,3.5637,3.6205,1271.2,,,,,
2024-01-05 13:00:00,3.6211,3.6734,3.6095,3.633,2189.9,,,,,
2024-01-05 14:00:00,3.6401,3.6401,3.5512,3.5519,15333.0,,,,,
2024-01-05 15:00:00,3.5581,3.594,3.5297,3.5641,2822.4,,,,,
2024-01-05 16:00:00,3.5794,3.5825,3.4775,3.4888,4987.1,,,,,
2024-01-05 17:00:00,3.4931,3.5474,3.4552,3.547,8995.5,,,,,
2024-01-05 18:00:00,3.5491,3.6018,3.5373,3.5588,813.1,,,,,
2024-01-05 19:00:00,3.5492,3.5805,3.5417,3.5539,1520.8,,,,,
2024-01-05 20:00:00,3.5599,3.6142,3.5577,3.6054,2321.1,,,,,
2024-01-05 21:00:00,3.5982,3.6,3.5591,3.6,549.0,,,,,
2024-01-05 22:00:00,3.6007,3.6207,3.5918,3.6174,10893.3,,,,,
2024-01-05 23:00:00,3.6268,3.6781,3.6238,3.6639,1168.6,,,,,
2024-01-06 00:00:00,3.6605,3.6616,3.615,3.6294,4091.0,,,,,
2024-01-06 01:00:00,3.6281,3.6281,3.5819,3.6062,1722.9,,,,,
