,open,high,low,close,volume,Open,High,Low,Close,Volume
2024-01-01 00:00:00,0.48812,0.48947,0.48254,0.48561,209989.0,,,,,
2024-01-01 01:00:00,0.48519,0.49008,0.48267,0.48523,108592.0,,,,,
2024-01-01 02:00:00,0.48574,0.48633,0.48101,0.48195,25357.0,,,,,
2024-01-01 03:00:00,0.48212,0.48326,0.46663,0.46979,104779.0,,,,,
2024-01-01 04:00:00,0.46898,0.47262,0.44557,0.45898,97609.0,,,,,
2024-01-01 05:00:00,0.46032,0.46384,0.45711,0.4572,61954.0,,,,,
2024-01-01 06:00:00,0.45726,0.46104,0.45525,0.45923,19904.0,,,,,
2024-01-01 07:00:00,0.45863,0.46346,0.4569,0.4606,24178.0,,,,,
2024-01-01 08:00:00,0.4607,0.4613,0.4575,0.45899,21577.0,,,,,
2024-01-01 09:00:00,0.45994,0.46211,0.45655,0.45712,34806.0,,,,,
2024-01-01 10:00:00,0.45637,0.45953,0.45527,0.45838,38266.0,,,,,
2024-01-01 11:00:00,0.45767,0.45865,0.45251,0.45615,31437.0,,,,,
2024-01-01 12:00:00,0.45745,0.46483,0.4562,0.45878,35136.0,,,,,
2024-01-01 13:00:00,0.45844,0.45923,0.45597,0.45627,17426.0,,,,,
2024-01-01 14:00:00,0.45582,0.45695,0.45057,0.45666,41940.0,,,,,
2024-01-01 15:00:00,0.45658,0.4649,0.45565,0.4649,62841.0,,,,,
2024-01-01 16:00:00,0.46586,0.46905,0.46139,0.46391,60835.0,,,,,
2024-01-01 17:00:00,0.4641,0.46886,0.46332,0.46805,28417.0,,,,,
2024-01-01 18:00:00,0.46851,0.47454,0.46633,0.47345,51576.0,,,,,
2024-01-01 19:00:00,0.4739,0.47895,0.47127,0.47829,42857.0,,,,,
2024-01-01 20:00:00,0.48063,0.48288,0.47171,0.47282,33127.0,,,,,
2024-01-01 21:00:00,0.47264,0.47538,0.47093,0.47538,119104.0,,,,,
2024-01-01 22:00:00,0.47566,0.47609,0.46919,0.47389,29632.0,,,,,
2024-01-01 23:00:00,0.47412,0.4806,0.47308,0.47959,59151.0,,,,,
2024-01-02 00:00:00,0.47951,0.48347,0.47085,0.48224,223173.0,,,,,
2024-01-02 01:00:00,0.48339,0.48895,0.48116,0.48455,132969.0,,,,,
2024-01-02 02:00:00,0.485,0.48979,0.48435,0.48589,70579.0,,,,,
2024-01-02 03:00:00,0.48589,0.49098,0.47999,0.49087,75677.0,,,,,
2024-01-02 04:00:00,0.49205,0.50988,0.4901,0.50373,186419.0,,,,,
2024-01-02 05:00:00,0.50245,0.50407,0.48449,0.48689,105497.0,,,,,
2024-01-02 06:00:00,0.48525,0.48899,0.48273,0.4865,43462.0,,,,,
2024-01-02 07:00:00,0.48553,0.49558,0.48553,0.48981,50347.0,,,,,
2024-01-02 08:00:00,0.49195,0.49872,0.4849,0.49729,66522.0,,,,,
2024-01-02 09:00:00,0.49808,0.50309,0.49734,0.50145,53586.0,,,,,
2024-01-02 10:00:00,0.50174,0.5036,0.49297,0.49739,120292.0,,,,,
2024-01-02 11:00:00,0.49753,0.50339,0.48712,0.49111,249981.0,,,,,
2024-01-02 12:00:00,0.49127,0.49491,0.48229,0.48229,124470.0,,,,,
2024-01-02 13:00:00,0.4844,0.49062,0.48284,0.48661,69163.0,,,,,
2024-01-02 14:00:00,0.48705,0.48762,0.46939,0.47633,298628.0,,,,,
2024-01-02 15:00:00,0.47501,0.47703,0.46718,0.47236,134133.0,,,,,
2024-01-02 16:00:00,0.47184,0.48085,0.47056,0.48038,115336.0,,,,,
2024-01-02 17:00:00,0.48006,0.48205,0.47605,0.48124,87536.0,,,,,
2024-01-02 18:00:00,0.48176,0.48821,0.48027,0.48766,53647.0,,,,,
2024-01-02 19:00:00,0.48709,0.49944,0.48709,0.49664,105917.0,,,,,
2024-01-02 20:00:00,0.49606,0.50395,0.4915,0.4937,125695.0,,,,,
2024-01-02 21:00:00,0.49206,0.4974,0.49058,0.49128,86740.0,,,,,
2024-01-02 22:00:00,0.4917,0.49722,0.48956,0.49289,73439.0,,,,,
2024-01-02 23:00:00,0.49298,0.49396,0.48558,0.4892,51925.0,,,,,
2024-01-03 00:00:00,0.4888,0.49676,0.4852,0.48898,82542.0,,,,,
2024-01-03 01:00:00,0.48781,0.49121,0.48316,0.48542,61375.0,,,,,
2024-01-03 02:00:00,0.48618,0.48936,0.4779,0.48096,84246.0,,,,,
2024-01-03 03:00:00,0.48097,0.48441,0.48027,0.48077,68379.0,,,,,
2024-01-03 04:00:00,0.48052,0.48748,0.48033,0.48246,49802.0,,,,,
2024-01-03 05:00:00,0.48343,0.48499,0.48045,0.48249,16612.0,,,,,
2024-01-03 06:00:00,0.48221,0.48538,0.47877,0.47877,35766.0,,,,,
2024-01-03 07:00:00,0.47865,0.48174,0.47291,0.47577,90981.0,,,,,
2024-01-03 08:00:00,0.47524,0.47934,0.47503,0.47934,39109.0,,,,,
2024-01-03 09:00:00,0.47945,0.48382,0.47945,0.4822,41171.0,,,,,
2024-01-03 10:00:00,0.48244,0.48969,0.47709,0.47886,136223.0,,,,,
2024-01-03 11:00:00,0.47917,0.47917,0.455,0.45737,323099.0,,,,,
2024-01-03 12:00:00,0.45788,0.45788,0.25505,0.38932,1219760.0,,,,,
2024-01-03 13:00:00,0.38921,0.40237,0.38401,0.39122,364429.0,,,,,
2024-01-03 14:00:00,0.38823,0.38823,0.37011,0.37836,233065.0,,,,,
2024-01-03 15:00:00,0.37797,0.38377,0.37037,0.38372,294759.0,,,,,
2024-01-03 16:00:00,0.38363,0.38449,0.35173,0.35783,472521.0,,,,,
2024-01-03 17:00:00,0.35517,0.35978,0.34293,0.34769,312349.0,,,,,
2024-01-03 18:00:00,0.34824,0.3583,0.34566,0.35426,231854.0,,,,,
2024-01-03 19:00:00,0.35576,0.36832,0.35399,0.36512,275351.0,,,,,
2024-01-03 20:00:00,0.36593,0.36752,0.35939,0.36234,65745.0,,,,,
2024-01-03 21:00:00,0.36312,0.36601,0.35872,0.364,123703.0,,,,,
2024-01-03 22:00:00,0.3641,0.36563,0.3557,0.36563,85183.0,,,,,
2024-01-03 23:00:00,0.36448,0.3722,0.36313,0.36609,62723.0,,,,,
2024-01-04 00:00:00,0.36647,0.36676,0.35797,0.36418,72738.0,,,,,
2024-01-04 01:00:00,0.36251,0.36251,0.35316,0.35836,73898.0,,,,,
2024-01-04 02:00:00,0.35652,0.36635,0.35598,0.36635,32955.0,,,,,
2024-01-04 03:00:00,0.36642,0.36667,0.36273,0.36636,26141.0,,,,,
2024-01-04 04:00:00,0.36648,0.37129,0.36561,0.36685,27752.0,,,,,
2024-01-04 05:00:00,0.36583,0.37356,0.36171,0.36992,184911.0,,,,,
2024-01-04 06:00:00,0.37047,0.37111,0.36145,0.36353,128992.0,,,,,
2024-01-04 07:00:00,0.36525,0.3724,0.36036,0.36123,195418.0,,,,,
2024-01-04 08:00:00,0.36141,0.36415,0.3544,0.36125,151778.0,,,,,
2024-01-04 09:00:00,0.36055,0.36249,0.35751,0.3606,30650.0,,,,,
2024-01-04 10:00:00,0.3599,0.36149,0.34881,0.36149,239004.0,,,,,
2024-01-04 11:00:00,0.36222,0.36585,0.3581,0.36262,112661.0,,,,,
2024-01-04 12:00:00,0.36274,0.36986,0.35779,0.3662,347578.0,,,,,
2024-01-04 13:00:00,0.36447,0.36647,0.35951,0.36348,147018.0,,,,,
2024-01-04 14:00:00,0.36352,0.37219,0.36034,0.37219,131217.0,,,,,
2024-01-04 15:00:00,0.37304,0.3784,0.36839,0.37313,251337.0,,,,,
2024-01-04 16:00:00,0.37166,0.37166,0.36546,0.36629,231975.0,,,,,
2024-01-04 17:00:00,0.36722,0.37183,0.36602,0.36851,418684.0,,,,,
2024-01-04 18:00:00,0.36837,0.37373,0.36742,0.37373,256095.0,,,,,
2024-01-04 19:00:00,0.37477,0.38389,0.37446,0.38261,232279.0,,,,,
2024-01-04 20:00:00,0.38359,0.39165,0.38153,0.38317,114491.0,,,,,
2024-01-04 21:00:00,0.38285,0.38421,0.3745,0.37664,189400.0,,,,,
2024-01-04 22:00:00,0.37663,0.38051,0.37133,0.37394,77805.0,,,,,
2024-01-04 23:00:00,0.37458,0.38065,0.37289,0.37818,30051.0,,,,,
2024-01-05 00:00:00,0.37922,0.38605,0.37709,0.38037,160692.0,,,,,
2024-01-05 01:00:00,0.37994,0.38285,0.34979,0.36567,327945.0,,,,,
2024-01-05 02:00:00,0.36834,0.37056,0.36422,0.36616,159230.0,,,,,
2024-01-05 03:00:00,0.36743,0.36864,0.36357,0.36615,74812.0,,,,,
2024-01-05 04:00:00,0.36618,0.36786,0.36041,0.36786,96174.0,,,,,
2024-01-05 05:00:00,0.36684,0.37883,0.36684,0.37399,143393.0,,,,,
2024-01-05 06:00:00,0.37567,0.38025,0.3722,0.37521,117937.0,,,,,
2024-01-05 07:00:00,0.37522,0.37522,0.36853,0.36892,98314.0,,,,,
2024-01-05 08:00:00,0.36924,0.37152,0.36535,0.36825,92151.0,,,,,
2024-01-05 09:00:00,0.36829,0.37342,0.36677,0.36877,247715.0,,,,,
2024-01-05 10:00:00,0.36854,0.37081,0.35494,0.36021,140020.0,,,,,
2024-01-05 11:00:00,0.36025,0.36616,0.35787,0.35966,128871.0,,,,,
2024-01-05 12:00:00,0.3593,0.36489,0.35647,0.3624,170759.0,,,,,
2024-01-05 13:00:00,0.3632,0.36662,0.36248,0.36656,279252.0,,,,,
2024-01-05 14:00:00,0.36632,0.3674,0.353,0.35425,522895.0,,,,,
2024-01-05 15:00:00,0.35574,0.35921,0.35198,0.35737,301433.0,,,,,
2024-01-05 16:00:00,0.35844,0.36419,0.34628,0.34757,231325.0,,,,,
2024-01-05 17:00:00,0.34793,0.3521,0.3433,0.34929,376101.0,,,,,
2024-01-05 18:00:00,0.34993,0.36096,0.34993,0.3598,86704.0,,,,,
