Coin,Timeframe,Trades,Sharp Ratio,Return,Max. Drawdown
STG/USDC:USDC,4h,6,0.0,-3.108028572719995,-5.31452889688
RNDR/USDC:USDC,4h,1,3.0037900801913664,2.3857214848000146,-2.2256934830715225
RNDR/USDC:USDC,4h,1,3.0037900801913664,2.3857214848000146,-2.2256934830715225
PENDLE/USDC:USDC,4h,1,1.1752180414237252,6.903109511999996,-2.4432496296523665
PENDLE/USDC:USDC,4h,1,9.269101246315694,1.0349150896000066,-2.831322701131511
PENDLE/USDC:USDC,4h,1,9.269101246315694,1.0349150896000066,-2.831322701131511
PENDLE/USDC:USDC,4h,1,1.3246792531421372,8.301643512000009,-2.4432496296523665
BNT/USDC:USDC,4h,15,2.0389389794223365,27.799490933280047,-4.778133380544158
GMX/USDC:USDC,4h,1,3.011175609716394,9.919622999999993,-1.1825920010007485
JUP/USDC:USDC,4h,1,2.286644927447407,8.281989220799995,-4.453267651412062
OP/USDC:USDC,4h,1,2.177848124245053,6.882866964000016,-2.151536214695471
ILV/USDC:USDC,4h,1,3.1131837896517545,2.807281360000008,-3.163345089348235
ADA/USDC:USDC,4h,3,7.444273837492633,2.569020705440038,-3.0508796845422625
AAVE/USDC:USDC,1h,105,1.2214119573834252,371.224637464,-12.211512369870569
AAVE/USDC:USDC,15m,121,1.4511162083763194,70.47056055999995,-14.31321712896989
AAVE/USDC:USDC,30m,83,1.554542742990502,134.93025079999984,-6.832241725712929
AAVE/USDC:USDC,1h,35,1.5173300393751064,98.6393115999999,-7.806600238266281
ACE/USDC:USDC,15m,104,1.8430831953821427,59.07015025200011,-8.464104589899069
ACE/USDC:USDC,30m,79,1.7436945368644214,75.86856241679997,-8.436170187212333
ACE/USDC:USDC,1h,55,1.9750028551695193,175.93559677679988,-5.025036604101341
ADA/USDC:USDC,15m,102,1.5671241404749177,27.854103783199886,-12.323837591045606
ADA/USDC:USDC,30m,103,2.044668652226268,79.39263228703969,-7.249551853536951
ADA/USDC:USDC,1h,105,1.760284787970924,169.06448716327984,-4.475190350489722
AI/USDC:USDC,15m,116,1.2332605921214197,112.63793971439995,-10.628476792042873
AI/USDC:USDC,30m,105,1.2756318719590531,239.4293161087996,-11.095470827921295
AI/USDC:USDC,1h,49,1.373845447100669,151.4084244911997,-8.020412411074796
ALT/USDC:USDC,15m,170,1.2007143239183613,465.7699562103203,-8.804069233938094
ALT/USDC:USDC,30m,131,1.094395749930904,769.1001034326396,-9.868914351772029
ALT/USDC:USDC,1h,81,1.0878199459045086,943.0078362412804,-5.760170207468429
AAVE/USDC:USDC,30m,83,1.2822269829668105,132.98555551999996,-7.915512162745253
AAVE/USDC:USDC,1h,41,1.330869531004847,95.63625015999988,-11.089826089781784
ACE/USDC:USDC,30m,55,1.647392721455709,50.705235510399824,-12.384812958213121
ACE/USDC:USDC,1h,45,1.7783597216982137,125.28482284799985,-7.69856923069746
ADA/USDC:USDC,30m,107,2.052883102793403,97.14860533199975,-7.249551818097466
ADA/USDC:USDC,1h,39,1.6658384838041356,56.4461901159999,-6.647963882211105
AI/USDC:USDC,30m,95,1.1497434004196154,242.66055165919997,-13.38154770006863
AI/USDC:USDC,1h,31,1.2708434982703396,106.05275781120002,-10.454294471002479
ALT/USDC:USDC,30m,121,0.9550966299922994,432.81851891431984,-9.222278589872223
ALT/USDC:USDC,1h,87,0.9987844217954922,1088.68444094568,-5.76017706852644
APE/USDC:USDC,30m,49,1.6337880908533164,56.6350543968,-10.869243117516314
